REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17988,closed,closed,2015-07-15 10:18:57,1236.55,11,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17988,closed,reopened,2015-07-15 10:22:42,3.75,11,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17988,closed,closed,2015-07-15 10:22:46,0.07,11,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,17988,closed,-,-,-,11,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,opened,2015-07-15 10:19:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,title,2015-07-15 10:19:56,00:00,,1,,"b""b' FAILED: FlowTest#mustBeAbleToRecover timing issue'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,body,2015-07-15 10:19:56,00:00,,1,,"b""b' It slightly went over-time in: url  // url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,closed,2015-07-28 12:40:38,140.7,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,1,2015-07-15 10:19:56,1255.47,,1,,"b""b' This still happens with high probability.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,reopened,2015-08-13 07:15:24,1114.77,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,2,2015-07-15 10:19:56,42.8,,,1,"b""b' Thanks for reopening // cc @agolubev'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,3,2015-07-15 10:19:56,1135.72,,1,,"b""b' Got it. Will check on weekend.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,4,2015-07-15 10:19:56,1382.85,,1,,"b""b' Ok"," there are two tests mustBeAbleToRecover. One for Flow and one for Source. So need to fix the second one.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,closed,2015-10-07 08:14:00,58.6,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18002,closed,-,-,-,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,opened,2015-07-16 12:23:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,title,2015-07-16 12:23:29,00:00,,1,,"b""b' Document how to properly avoid sending a 100-continue response'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,body,2015-07-16 12:23:29,00:00,1,,,"b""b' The following test shows the problem: Since the subscriber at the end of the chain is a cancelled sink", there should never be any requests for anything issued anywhere in the chain, however the assertion fails. Removing the map fixes the problem, as does feeding the probed publisher directly to a cancelled Sink. This particularly causes a problem for Play," which depends on the absence of a request from a cancelled Sink resulting in the eventual Netty reactive streams publisher not receiving a request in order to know not to send a 100 continue message.'""",,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,1,2015-07-16 12:23:29,17.48,1,,,"b""b' Adding after the also works around the problem.  But it seems odd to me that by default"," Akka would introduce a buffer here.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,2,2015-07-16 12:23:29,8.8,,1,,"b'b"" Sorry", adding that doesn\'t work, it just throws an exception," saying the initial input buffer size must be greater than 0.  It definitely seems like there\'s a problem there...""'",,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,3,2015-07-16 12:23:29,2.5,,1,,"b'b"" yes", there always must be a buffer of at least size one (for the incoming element).Every stage in akka streams has a pre-fetch currently (related to that buffer)," so that\'s what\'s causing the requests. I\'m curious to understand the case how sending the requests breaks the netty reactive streams publisher? I didn\'t quite grasp why it\'s a problem could you explain that part a bit?""'",,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,4,2015-07-16 12:23:29,7.58,,1,,"b'b"" The problem is in correctly implementing support for  .  If an HTTP request sends this header", then the client will not send the body until the server responds with a response.  If it sends any other response, then the client won\'t send the body.  This is to allow the server to short circuit receiving the body, for example, if the client has a 1GB body to send, but authentication failed, the server will know immediately that the request is going to fail, but HTTP, being a half duplex protocol, doesn\'t allow sending the failed response until the full request is received, so 100 continue adds a way for the client to check whether it\'s ok to send the body or not first.  So, how do you implement this on the server side?  The most straight forward way, and the way that both Play and Akka HTTP implement it, is to send when the  makes a request for demand.  If the server isn\'t interested in the body, it should return a  that never requests demand.  So, if Akka streams introduces its own requests for demand," then that\'s a problem.""'",,,,,,,,,,
akka,18013,closed,5,2015-07-16 12:23:29,8.18,,1,,"b""b' We currently work around this problem in Play using this: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,6,2015-07-16 12:23:29,245.33,,1,,"b""b' @jroper Are you TCK validating those implementations?'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,7,2015-07-16 12:23:29,463.67,,1,,"b'b"" The MaterialiseOnDemandPublisher? No", it\'s not validated. For now it just exists to work around a problem, once we fix this," it will be deleted.""'",,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,8,2015-07-16 12:23:29,1187.83,,,1,"b""b' Right", I do encourage TCK validation anyway," just to not replace one buggyimpl with another :)'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,9,2015-07-16 12:23:29,1147.1,,1,,"b""b' @jroper This ticket cannot be fixed because doing (small) buffering and prefetch is ingrained in the Akka Streams design philosophy\\xe2\\x80\\x94relying on getting a graph assembled in which not a single part will ever do a request (unless some event X happens) is not a winning proposition. The way to use the Akka HTTP 100-continue API is to not materialize the request payload Source unless you already know that you will read it. We can help with how to do that"," but this ticket is \\xe2\\x80\\x9cwon\\xe2\\x80\\x99t fix\\xe2\\x80\\x9d.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,closed,2015-07-27 15:51:58,208.48,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,10,2015-07-16 12:23:29,884.55,,1,,"b'b"" Fair enough", but then perhaps Akka HTTP\'s 100 confinue support should be modified to send 100 continue on materialisation, not on request. At the moment, it\'s on request, which makes it an implementation detail of Akka streams as to whether 100 continue is actually sent or not. I think it would be better to have completely specified and documented behaviour there," so that it\'s clear how to get 100 continue support right when using Akka HTTP.""'",,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,11,2015-07-16 12:23:29,1424.38,,,1,"b""b' Good point"," this must be properly documented. The current behavior is that it is request-triggered and the only guaranteed way to never send a request is to not materialize it (although it is obviously also not guaranteed that materialization will lead to a request \\xe2\\x80\\xa6).'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,reopened,2015-08-02 06:20:54,868.93,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,12,2015-07-16 12:23:29,342.72,,,1,"b""b' Ticket moved to -http\\xe2\\x80\\xa8 (direct link to new issue visible on github just above this comment). Rationale for the move discussed here: -meta#27 If you are interested in contributing or tracking this issue"," please comment in akka-http instead from now on :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,closed,2016-09-12 12:03:37,342.72,2,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18013,closed,-,-,-,2,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,opened,2015-07-16 21:52:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,title,2015-07-16 21:52:16,00:00,,1,,"b""b' akka-http request parsing parses HEAD as GET'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,body,2015-07-16 21:52:16,00:00,,1,,"b""b' If I issue a: to an akka-http app", the routing logic sees this as a GET request," not a HEAD request. '""",,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,closed,2015-07-16 21:53:03,0.78,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,1,2015-07-16 21:52:16,0.95,,1,,"b'b"" I didn\'t see the transparent-head-request option""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,2,2015-07-16 21:52:16,852.12,,1,,"b'b"" I\'d like to reopen this issue", because IMO for a transparent HEAD request the should be (at least this is how play handles transparent HEAD). This is . that caused issues in play," see #4907.""'",,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,reopened,2015-07-30 12:09:49,856.77,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,3,2015-07-16 21:52:16,5.2,,1,,"b'b"" Could you rephrase @magro"," what change you\'d like to propose? // cc @sirthias @jrudolph ""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,4,2015-07-16 21:52:16,28.52,,1,,"b""b' @magro  > IMO for a transparent request the should be '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,5,2015-07-16 21:52:16,102.18,1,,,"b'b"" Sorry", I was wrong, GET should have been HEAD," I\'ll correct it above ;-)""'",,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,6,2015-07-16 21:52:16,1.1,,1,,"b""b' @ktoso For a transparent HEAD request should return a HEAD HttpMethod.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,7,2015-07-16 21:52:16,18.97,,,1,b'b\' Hi @magro," nice to see you here ;) There may be different understandings about what is meant by ""transparent HEAD request handling"". In spray and in akka-http", it means that application code doesn\\\'t notice it is currently handling a HEAD request. If you don\\\'t want this automatic handling you can always switch the setting off. Maybe that\\\'s what play needs to do if it wants to provide customized transparent HEAD request handling without piggy-backing on top of what akka-http provides. What won\\\'t work (and maybe that\\\'s what you found out?) is that two layers both try to implement transparent HEAD requests at the same time.\'',,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,8,2015-07-16 21:52:16,32.62,,,1,"b'b"" Hey @jrudolph", the pleasure is on my side :-) If akka-http sets intentionally to for transparent HEAD handling," then play should indeed set that\'s what I also suggested  in #4907. Thanks for the confirmation!""'",,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,9,2015-07-16 21:52:16,48.23,,1,,"b'b"" @jrudolph What was the reasoning behind the decision to set  to GET for transparent HEAD requests? As a user using a monitoring tool like e.g. [kamon]url  that reports requests (based on request method and path)", I\'d expect to see different traces for HEAD and GET requests. If there are lots of HEAD requests while I have no HEAD directive defined and GETs are expensive, I could decide to add an explicit  for HEAD.That\'s the use case where I\'m coming from," because we had seen unexpected behaviour / monitoring traces for transparent HEAD requests in play. This is described in kamon-#237.""'",,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,10,2015-07-16 21:52:16,958.62,,,1,b'b\' @magro The reasoning behind this setting is that, when you don\\\'t switch it off," HEAD requests will automatically be dealt with without you having to do _anything_ in your routing layer. Your code simply sees GET requests and does what it needs to do to complete them.The HTTP layer determines whether the full response entity needs to be sent (in the case of real GET requests) or not (in the case of a ""fake"" GET request which really is a HEAD request). Of course you are right and it might be that some work is done that could be avoided when HEAD requests were handled explicitly by the application. However", in many cases this additional overhead doesn\\\'t really matter and people happily choose the convenience over the extra cycles. Note that with akka-http\\\'s streaming nature the extra work is in many cases less than it was with spray, since the response entity stream can be constructed fully lazily (i.e. only when the response entity stream is actually materialized), which the HTTP layer will not do in the case of a transparent HEAD request.\'',,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,11,2015-07-16 21:52:16,461.1,,1,,"b'b"" @sirthias I agree", that for a transparent HEAD request the user shouldn\'t have to do anything in his routing layer. But perhaps because play does it like this I\'d expect to see which HTTP method was actually used for a request (e.g. to be able to have correct ). So I\'d expect that the  would be called (or some that includes  ), but with =  . Why shouldn\'t a user see only a GET request, and not that it was actually HEAD?I don\'t want to criticize this decision, I just want to understand the thinking behind it, because in play this is obviously different. Regarding : AFAICS the transparent HEAD request returns the Content-Length (I tried this [minimal-scala-akka-http-seed template]url  therefore I assume that the response body is fully constructed to determine this (and backend calls that are needed for the response body will be executed, which I\'d be more concerned about than the costs for sending the response body). But that\'s not the point I\'d want to discuss," I\'m more interested in the thinking about user expectations regarding the request method.""'",,,,,,,,,,,,,,,,,,,
akka,18020,closed,12,2015-07-16 21:52:16,1433.57,,,1,"b'b\' @magro in Akka HTTP (and in spray) the low-level HTTP layer and the high-level routing layer are fully decoupled. It is completely normal for an application to only use the low-level layer (and implement its own ""routing"").The ""transparent head requests"" setting is a feature of the _low-level_ layer. As such there is no direct connection to the routing DSL. But you can very easily implement a ""transparent head requests"" feature with the routing DSL yourself", if you so want. (Of course you should disable the heading for the low-level layer for this to work.)This depends entirely on the application. If the Content-Length is easily known without constructing the entity (as for example in the case of file content) there is no need to load the entity before it is actually being sent. And if the Content-Length is not easily available the application could also decide to return a chunked entity. This too would make it easy to not load any entity content unnecessarily for HEAD requests. In general we are not saying that the setting is a perfect solution. It definitely has its weaknesses. But, since it has served us quite well over the last years with spray, we migrated it over to Akka HTTP.\'',,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,13,2015-07-16 21:52:16,363.37,,,1,"b""b' @sirthias Thanks for this explanation! '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,14,2015-07-16 21:52:16,1.27,,,1,"b""b' From my point of view this can be closed again"," thanks for the discussion! :-) '""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,closed,2015-08-03 09:07:25,1257.6,1,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18020,closed,-,-,-,1,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,opened,2015-07-17 16:20:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,title,2015-07-17 16:20:59,00:00,,1,,"b""b' DOCS: links to source in akka streams scaladoc no longer work'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,body,2015-07-17 16:20:59,00:00,,1,,"b""b' For example", the link [here]url  to [github]url  is broken. This worked a couple days ago," and was very useful when trying to figure out how things worked under the covers.'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,1,2015-07-17 16:20:59,1.38,,1,,"b""b' Thanks for reporting! Very weird... I used the usual process for publishing them hm.Will look into it'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,2,2015-07-17 16:20:59,44.25,,,1,"b'b"" AFAICT it\'s working now. Cheers.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,closed,2015-07-17 17:06:37,45.63,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,3,2015-07-17 16:20:59,82.77,,,1,"b'b"" Aaaand [it\'s broken again]url  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,reopened,2015-07-17 18:29:23,82.77,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,4,2015-07-17 16:20:59,1.42,,,1,b'b\' Or rather still :-) did not yet get the chance to work on it. Thanks forreporting again :-)On Jul 17, 2015 20:29,"Frank Murphy"" notifications@ wrote:\''
akka	18030	open	5	AnIrishDuck	2015-07-17 16:20:59	156.82		+1		b'b"" OK. FWIW it definitely started working again for an hour or so, which may mean it\'s a misconfiguration in publishing that\'s not universal.""'
akka	18030	open	6	2m	2015-07-17 16:20:59	1005.35		+1		b""b' This is a generated scala file from a template. It should be fixed to point to the boilerplate file [here]url '",,,,,,,,,,,,,,,,,,,,,,,,
akka,18030,open,-,-,-,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,opened,2015-07-18 09:31:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,title,2015-07-18 09:31:01,00:00,1,,,"b""b' Hook on PersistentActor after message is persisted'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,body,2015-07-18 09:31:01,00:00,1,,,"b""b' I want to extend the behaviour of the such that a function is called (with the persisted event) every time a message is persisted. If the provided a hook it would be possible to extend the behaviour. The use case is that I want to publish every persisted message on a bus. I would like to mixin a trait into the existing actors to provide this behaviour"," but that means that the existing Actor needs to call a new function instead of  . I would like to use this hook so that mixing in this trait is enough.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,1,2015-07-18 09:31:01,1394.53,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,2,2015-07-18 09:31:01,320.12,,,1,"b""b' I\\xe2\\x80\\x99m not convinced that this is a good idea: it is yet another way in which PersistentActor gets more convenient for the case of keeping variable(s) in the Actor which are acted upon by callbacks instead of properly containing state-dependent information in different behaviors. The common pattern is to have an method that either updates a variable or transforms a given state into a new state and this method would be the place to put the publishing action (or any cross-cutting concern). Adding a second but invisible way to do the same thing is probably not a good idea.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,3,2015-07-18 09:31:01,29.43,,,1,"b""b' After working on an ES-solution with Akka for almost a year", my experience is, that PersistentActors get very, very complex. Some of the complexity also comes from -dependent actions when persisting events. Yet some actions are executed irrespective of the actors state or behaviour.  e.g. for state  There is no way to declare cross-cutting actions. By the way," the  -method is not the place I put my publishing logic in. :-)  does exactly what it says it does.'""",,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,4,2015-07-18 09:31:01,1157.92,,,1,"b""b' @rkuhn I understand your hesitation", but there is no other way to define behaviour that should always be performed for every event.  Implementing the publish logic fine when I was to implement this for 1 PersistentActor, but when I have many actors I prefer to extend (which would use the  ) instead of and focus on the business logic inside my actor. Furthermore," I agree with @michaelom that I would not put publish logic in  . will also be called on playback by and in that case I do not want to publish the event. '""",,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,5,2015-07-18 09:31:01,15.5,,1,,"b'b"" We have been discussing and thinking about this several times"," but in the end we don\'t think it is worth expanding the api surface for this. Adding hooks for cross cutting concerns at all places is not feasible. I\'m sure  many similar hooks are needed in other places in akka if we go that route.""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,closed,2015-08-07 10:08:31,37.5,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,6,2015-07-18 09:31:01,559.87,,1,,"b'b"" Hi @patriknw", It\'s a pity the feature is declined as this would really make my library much easier to use. The PersistentActor is not open for extension in any other way. Anyway," I can understand your reasoning. Thanks for the feedback on the PR and the time you all took to look at it. Jeroen""'",,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,7,2015-07-18 09:31:01,1.62,,1,,"b'b"" We may revisit making persist not final though. It would make it possible for you to wrap the handler with the publish-to-bus code.WDYT @patriknw? \\xc2\\xa0Cheers",Konrad \'ktoso\\xe2\\x80\\x99 MalawskiAkka\\xc2\\xa0@\\xc2\\xa0Typesafe On 7 August 2015 at 21:28:26, Jeroen Gordijn (notifications@) wrote: Hi @patriknw, It\'s a pity the feature is declined as this would really make my library much easier to use. The PersistentActor is not open for extension in any other way. Anyway," I can understand your reasoning. Thanks for the feedback on the PR and the time you all took to look at it. Jeroen \\xe2\\x80\\x94Reply to this email directly or view it on GitHub.""'",,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,8,2015-07-18 09:31:01,3.7,,1,,"b""b' @ktoso", my reasoning was that foregoing the final would not be permissible. But if dropping final is an option," it would definitely solve my issue.'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,9,2015-07-18 09:31:01,71.98,,1,,"b'b"" I don\'t mind removing final on those.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,10,2015-07-18 09:31:01,17.02,1,,,"b'b"" Does url  cover it? I\'m a bit uncertain if I should also remove in the UntypedPersistentActor?""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,11,2015-07-18 09:31:01,22.18,,,1,"b'b"" It would also have to remove from as well as  ", as well as from for consistency.Thanks for picking it up! \\xc2\\xa0Cheers,Konrad \'ktoso\\xe2\\x80\\x99 MalawskiAkka\\xc2\\xa0@\\xc2\\xa0Typesafe On 7 August 2015 at 23:02:45," Jeroen Gordijn (notifications@) wrote: Does #18148 cover it? I\'m a bit uncertain if I should also remove final in the UntypedPersistentActor? \\xe2\\x80\\x94Reply to this email directly or view it on GitHub.""'",,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,reopened,2015-08-10 06:01:51,1193.33,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,12,2015-07-18 09:31:01,783.15,,,1,"b""b' Resolved by url  by making and overrideable. Happy hakking!'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,closed,2015-08-10 10:28:04,266.22,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18032,closed,-,-,-,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,opened,2015-07-22 19:44:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,title,2015-07-22 19:44:47,00:00,,1,,"b""b' FAILED: Diagrams not generated (wat)'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,body,2015-07-22 19:44:47,00:00,,1,,"b""b' Diagram generation failed for scaladoc on nightly"," need to check why; url '""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,1,2015-07-22 19:44:47,1034.48,,1,,"b""b' This is now failing constantly:url url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,closed,2015-08-10 14:33:29,1128.7,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,reopened,2015-08-10 17:06:39,153.17,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,2,2015-07-22 19:44:47,248.32,,1,,"b""b' Still failing: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,3,2015-07-22 19:44:47,36.03,,,1,"b""b' Strange. Fails in url  but works fine in url Compared the jvm arguments and everything is the same.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,4,2015-07-22 19:44:47,740.32,,1,,"b""b' Two successful builds on a4url url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,5,2015-07-22 19:44:47,70.93,,1,,"b""b' Looks like this is working now'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,closed,2015-08-12 07:14:58,848.32,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,6,2015-07-22 19:44:47,28.07,,1,,"b""b' :+1: '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18053,closed,-,-,-,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,opened,2015-07-23 13:11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,title,2015-07-23 13:11:50,00:00,,1,,"b""b' doc: Clarify the interaction of TestActorRef with Persistent actor'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,body,2015-07-23 13:11:50,00:00,,1,,"b""b' Please clarify in Testing documentation that using TestActorRef with a PersistentActor (or with a AtLeastOnceDelivery trait mixed-in) leads to an unexpected behavior and must be avoided. TestActorRef forces the CallingThreadDispatcher"," which does not mix well with Actors which need to perform work in the background like the indicated cases.  This issue comes from this conversation on user list. url '""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,1,2015-07-23 13:11:50,2.97,,1,,"b'b"" Hi @giampaolotrapasso","sounds like a duplicate of url  which was resolved by url  already. Is there something you\'re missing from that docs update?""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,closed,2015-07-23 13:24:27,12.62,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,2,2015-07-23 13:11:50,10.07,1,,,"b""b' Sorry"," my bad.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,3,2015-07-23 13:11:50,0.58,,,1,"b'b"" No problem"," thanks for raising the problem!In case the added docs don\'t address your confusion please let us know""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,4,2015-07-23 13:11:50,7.35,,,1,"b'b"" My humble suggestions: [x] the information is in a light blue box (note)"," maybe a warning level would make it more visible. (Testing page)[x] don\'t know if it\'s good to report the warning also in the Persistence page of documentation (Testing section).""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,5,2015-07-23 13:11:50,1333.97,,,1,"b""b' Good points; adding it to the testing section of persistence makes a lot of sense thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,reopened,2015-07-27 11:46:47,1342.33,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,closed,2015-08-14 11:49:23,2.6,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18061,closed,-,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,opened,2015-07-27 17:46:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,title,2015-07-27 17:46:18,00:00,,1,,"b""b' Replace  overloads with explicit factories'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,body,2015-07-27 17:46:18,00:00,,1,,"b""b' Commonly used factory methods for Source should be non-overloaded methods with names that are easy to discover in IDEs (like ", ,"  etc).'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,1,2015-07-27 17:46:18,92.87,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,2,2015-07-27 17:46:18,82.62,,,1,"b'b"" I\'m sympathetic to this change"," I\'ve thought the same thing myself a couple of times.Would love to hear more opinions on this topic.""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,3,2015-07-27 17:46:18,1.57,,,1,b'b\' I\\\'d enjoy it as well," it\\\'s more dog (consistent) as ""for some we have the named ones"," yet for some we have apply"". I found myself sometimes wondering which ones deserve the name and which not.\''",,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,closed,2015-07-27 20:44:58,178.67,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,reopened,2015-07-27 20:45:01,0.05,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,4,2015-07-27 17:46:18,1.78,,1,,"b""b' misclick'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,5,2015-07-27 17:46:18,1076.88,,1,,"b""b' This is being done in #18700 .'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,closed,2015-10-13 14:42:01,1077.0,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18083,closed,-,-,-,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18112,closed,opened,2015-08-03 11:57:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18112,closed,title,2015-08-03 11:57:52,00:00,,1,,"b""b' Deleting local snapshots using criteria should take into account the timestamp '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18112,closed,body,2015-08-03 11:57:52,00:00,,1,,"b""b' Discovered by Stephen McDonald in the akka-user thread: url Attached diff:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18112,closed,1,2015-08-03 11:57:52,2.68,,1,,"b""b' // cc @stephenmcd'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18112,closed,2,2015-08-03 11:57:52,718.12,,,1,"b""b' Thanks Konrad. Any comment on the patch? Would you like me to set up a PR?'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,18112,closed,3,2015-08-03 11:57:52,1.3,1,,,"b'b"" Ignore my previous message here"," I read this before the mailing list thread. I\'ll set up a PR.""'",,,,,,,,,,,,,,,,,,,,,,,,,
